year,player_name,team,stat_category,stat_value,quality_score,quality_level
1927,Harry Heilmann,Unknown,Batting Average,0.398,75,medium
1927,Lou Gehrig,Unknown,Home Runs,52.0,75,medium
1927,Earle Combs,Unknown,Hits,231.0,75,medium
1927,Babe Ruth,Unknown,Home Runs,60.0,75,medium
1927,Lou Gehrig,Unknown,Home Runs,447.0,5,invalid
1947,Ted Williams,Unknown,Batting Average,0.343,75,medium
1947,Johnny Pesky,Unknown,Hits,207.0,75,medium
1947,Ted Williams,Unknown,Home Runs,32.0,75,medium
1961,Norm Cash,Unknown,Batting Average,0.361,75,medium
1961,Norm Cash,Unknown,Hits,193.0,75,medium
1961,Roger Maris,Unknown,Home Runs,61.0,75,medium
1969,Rod Carew,Unknown,Batting Average,0.332,75,medium
1969,Tony Oliva,Unknown,Hits,197.0,75,medium
1969,Harmon Killebrew,Unknown,Home Runs,49.0,75,medium
1994,Paul ONeill,Unknown,Batting Average,0.359,75,medium
1994,Kenny Lofton,Unknown,Hits,160.0,75,medium
1994,Ken Griffey Jr.,Unknown,Home Runs,40.0,75,medium
1998,Bernie Williams,Unknown,Batting Average,0.339,75,medium
1998,Alex Rodriguez,Unknown,Hits,213.0,75,medium
1998,Ken Griffey Jr.,Unknown,Home Runs,56.0,75,medium
2001,Ichiro Suzuki,Unknown,Batting Average,0.35,75,medium
2001,Ichiro Suzuki,Unknown,Hits,242.0,75,medium
2001,Alex Rodriguez,Unknown,Home Runs,52.0,75,medium
2016,Jose Altuve,Unknown,Batting Average,0.338,75,medium
2016,Jose Altuve,Unknown,Hits,216.0,75,medium
2016,Mark Trumbo,Unknown,Home Runs,47.0,75,medium
2020,DJ LeMahieu,Unknown,Batting Average,0.364,75,medium
2020,Jose Abreu,Unknown,Hits,76.0,75,medium
2020,Luke Voit,Unknown,Home Runs,22.0,75,medium
2020,Tim Anderson,Unknown,Hits,45.0,25,invalid
2020,Jose Abreu,Unknown,Hits,0.617,25,invalid
2020,Jose Abreu,Unknown,Hits,148.0,75,medium
2023,Yandy Díaz,Unknown,Batting Average,0.33,75,medium
2023,Marcus Semien,Unknown,Hits,185.0,75,medium
2023,Shohei Ohtani,Unknown,Home Runs,44.0,75,medium
