year,description,event_type,participants,significance
1927,"On August 23rd, the Commonwealth of Massachusetts executed two Italian immigrants for a double murder. It was widely believed that the men's reputation as anarchists prevented them from receiving a fair trial and the case remains one of the most controversial in American history. On April 15, 1920, a paymaster for a shoe company in South Braintree, Massachusetts, and his guard were shot and killed by two men who escaped with over $15,000. It was thought from reports of witnesses that the murderers were Italians. The suspects, Nicola Sacco and Bartolomeo Vanzetti were later arrested. Neither, however, had a criminal record, nor was there any evidence of their having had any of the money. In July of 1921, they were found guilty after a trial in Dedham, Massachusetts, and sentenced to death. Years later it was determined that Sacco was probably guilty of the crime, but that Vanzetti was innocent.",Record,"August, April, South Braintree, Nicola Sacco, Bartolomeo Vanzetti","On August 23rd, the Commonwealth of Massachusetts executed two Italian immigrants for a double murde..."
1927,"On May 30th, Washington Senators ace Walter Johnson tossed the final shutout of his career (number one-hundred ten) with a three hit, 3-0 victory over the Boston Red Sox. The ""Big Train"" went on to retire at the end of the season, but eventually returned to the majors as a manager for both the Senators and Cleveland Indians.",Retirement,"Boston Red Sox, Walter Johnson, Big Train, Washington Senators","On May 30th, Washington Senators ace Walter Johnson tossed the final shutout of his career (number o..."
1927,"Pittsburgh Pirates slugger Paul Waner set a new National League record after finishing fourteen straight games with at least one long hit (twelve doubles, five triples, three home runs). The following day, his twenty-three game hitting streak also came to an end.",Record,"Paul Waner, National League, Pittsburgh Pirates",Pittsburgh Pirates slugger Paul Waner set a new National League record after finishing fourteen stra...
1927,"During a May 14thgame between the Philadelphia Phillies and St. Louis Cardinals, a section of ten rows in the right field stands at the Baker Bowl collapsed spilling hundreds of fans onto spectators below. There are many injuries, but the one death that occurred was caused by the crowd's ensuing stampede, not the collapsing bleachers.",Death,"Louis Cardinals, Philadelphia Phillies, Baker Bowl","During a May 14thgame between the Philadelphia Phillies and St. Louis Cardinals, a section of ten ro..."
1927,"The New York Yankees grand finale for the 1927 season, the World Series, was the quickest ever played and lasted only seventy-four hours and fifteen minutes. They became the first American League team to sweep a World Series, and it was only the second four game sweep in World Series history (Braves over Athletics in 1914). The Yankees trailed a total of only two innings during the entire series out scoring the Pirates 23-10. Pittsburgh, only once, managed to score more than one run in an inning (during Game 4).",Debut,"World, American League","The New York Yankees grand finale for the 1927 season, the World Series, was the quickest ever playe..."
1947,"Philadelphia Athletics catcher Buddy Rosar finally dropped a pop-up on May 20thfor his first recorded error in one-hundred forty-seven games and seven-hundred fifty-six chances. New York Yankees catcher Yogi Berra went on to extend the Major League record to one-hundred forty-eight and nine-hundred fifty from 1957 to 1959, but Rosar's single-season record of one-hundred fifteen games and six-hundred five errorless chances stood unchallenged for fifty years until Charles Johnson of the Florida Marlins topped it in 1997.",Record,"Philadelphia Athletics, Yankees, Buddy Rosar, Yogi Berra, Major League",Philadelphia Athletics catcher Buddy Rosar finally dropped a pop-up on May 20thfor his first recorde...
1947,"Johnny Mize of the New York Giants set a Major League record after hitting three successive home runs (for the fifth time in his career) during a 14-5 loss to the Boston Braves. Mize would later go on to add a sixth, three-homer performance while playing with the New York Yankees in 1950.",Record,"Yankees, Johnny Mize, Major League, Giants, Boston Braves",Johnny Mize of the New York Giants set a Major League record after hitting three successive home run...
1947,"On July 5, 1947,Larry Dobyof the Cleveland Indians became thefirst black playerto appear in an American League game. Doby debuted against the Chicago White Sox during the seventh inning as a pinch hitter for pitcherBryan Stephens. With two on, and two out, Doby struck out againstEarl Harrist.",Debut,"Chicago White Sox, American League, July, Larry Dobyof, Cleveland Indians","On July 5, 1947,Larry Dobyof the Cleveland Indians became thefirst black playerto appear in an Ameri..."
1961,"On September 15, the New York Yankees also broke the all-time home run record (for a team) with 223 round-trippers. The combined franchise mark had been previously held by the 1947 New York Giants and the 1956 Cincinnati Reds.",Record,"Cincinnati Reds, Giants, Yankees, September","On September 15, the New York Yankees also broke the all-time home run record (for a team) with 223 ..."
1961,Baltimore Orioles slugger Jim Gentile tied Ernie Banks' Major League record for most grand slams in a season after hitting his 5th off of the Chicago White Sox' Don Larsen.,Record,"Chicago White Sox, Major League, Ernie Banks, Baltimore Orioles, Jim Gentile",Baltimore Orioles slugger Jim Gentile tied Ernie Banks' Major League record for most grand slams in ...
1961,"On September 15, Los Angeles Dodgers ace Sandy Koufax set down 10 Milwaukee Braves bringing his season total to 243 — a National League record for left-handed pitchers. The New York Giants' Rube Marquard had held the National League lefty record previously after fanning 237 in 1911.",Record,"Los Angeles Dodgers, National League, September, Milwaukee Braves, Sandy Koufax","On September 15, Los Angeles Dodgers ace Sandy Koufax set down 10 Milwaukee Braves bringing his seas..."
1961,"""The M&M Boys"" (Mickey Mantle and Roger Maris) became THE single most important story in the 1961 season as both New York Yankee teammates raced to beat Babe Ruth's single-season homerun record of sixty. After going head-to-head for several months, Mantle fell out of the race due to a serious hip infection that required hospitalization. Maris pressed on and finally topped ""The Bambino"" during the final game of the season with number 61 off Tracy Stallard of the Boston Red Sox. Baseball Commissioner Ford Frick ruled that Maris' record would be recorded with an asterisk in the books, making it a separate and distinctive record due to the new one-hundred sixty-two game schedule. Years later, acting Commissioner Fay Vincent reversed the ruling, ""removing the asterisk"" and recognizing Maris as an official record-breaker.",Record,"Bambino, Roger Maris, Babe Ruth, Yankee, Mickey Mantle","""The M&M Boys"" (Mickey Mantle and Roger Maris) became THE single most important story in the 1961 se..."
1969,"On March 1st, ""The Commerce Comet"" also known as Mickey Mantle announced his retirement after eighteen years in professional baseball. During his Hall of Fame tenure with the New York Yankees, ""The Mick"" batted .298, hit five-hundred thirty-six home runs and appeared in an amazing sixty-five World Series games in which he tallied a record eighteen home runs and forty RBIs.",Retirement,"Yankees, March, Commerce Comet, Mick, Mickey Mantle","On March 1st, ""The Commerce Comet"" also known as Mickey Mantle announced his retirement after eighte..."
1969,"Reggie Jackson hit two home runs and drove in a whopping ten runs as the Oakland Athletics regained first place in the American League West with a 21-7 romp over the Boston Red Sox at Fenway Park on June 14th. Jackson doubled home a run in the first, homered in the third and fifth, singled in two in the seventh and drove in three more with a single in the eighth. The whopping twenty-one run total set a team record that wouldn't be matched until the 2000 season.",Record,"Oakland Athletics, Fenway Park, Boston Red Sox, Reggie Jackson, American League West",Reggie Jackson hit two home runs and drove in a whopping ten runs as the Oakland Athletics regained ...
1969,St. Louis Cardinals ace Bob Gibson set a National League record on August 16th(reaching two-hundred strikeouts for the seventh season) after an 8-1 win over the Atlanta Braves.,Record,"National League, Louis Cardinals, Atlanta Braves, Bob Gibson",St. Louis Cardinals ace Bob Gibson set a National League record on August 16th(reaching two-hundred ...
1969,"Ted Williams was named Jim Lemon's replacement as manager of the Washington Senators after the Capital's franchise finished in last place with a miserable 65-96 record. ""Teddy Baseball"" was reported to have signed a five-year contract for $75,000 a season and ten percent in the team's stock.",Record,"Jim Lemon, Teddy Baseball, Ted Williams, Washington Senators",Ted Williams was named Jim Lemon's replacement as manager of the Washington Senators after the Capit...
1969,"""I can't play anymore (retirement press conference on March 1, 1969). I can't hit the ball when I need to. I can't steal second when I need to. I can't go from first to third when I need to. I can't score from second when I need to. I have to quit."" - Mickey Mantle",Retirement,Mickey Mantle,"""I can't play anymore (retirement press conference on March 1, 1969). I can't hit the ball when I ne..."
1969,"OnApril 8, 1969, the expansionSeattle Pilotsmade their American League debut versus theCalifornia Angelsand won 4-3 at Anaheim Stadium. Three days later,April 11, 1969, they played their first home game, in Sick's Stadium, and beat the White Sox 7-0!",Debut,"Anaheim Stadium, California Angelsand, American League, White Sox, Seattle Pilotsmade","OnApril 8, 1969, the expansionSeattle Pilotsmade their American League debut versus theCalifornia An..."
1969,"On June 8, 1969, the New York Yankees retiredMickey Mantle'snumber 7 in front of 60,096 fans. During his on-field speech he said, ""Playing 18 years in Yankee Stadium for you folks was the best thing that could ever happen to a ballplayer.""",Retirement,"June, Mickey Mantle, Yankees, Yankee Stadium","On June 8, 1969, the New York Yankees retiredMickey Mantle'snumber 7 in front of 60,096 fans. During..."
1969,"On September 26, 1969,Rod Carewattempted to tie therecord for stealing home baseduring a season which was set during the 1912 season. Carew stole home safely againstSkip Lockwoodof Seattle, but during his slide he knocked over home plate umpire Jim Honochick who called Carew out then ejected him for throwing his equipment on the field.",Record,"Jim Honochick, Skip Lockwoodof Seattle, Rod Carewattempted, September","On September 26, 1969,Rod Carewattempted to tie therecord for stealing home baseduring a season whic..."
1994,"Richard M. Nixon, the thirty-seventh President of the United States, who won a record landslide and resigned in disgrace twenty-one months later died after suffering a stroke at the age of eighty-one.",Record,United States,"Richard M. Nixon, the thirty-seventh President of the United States, who won a record landslide and ..."
1994,"Cleveland Indians pitcher Paul Shuey went four (K's) for four in the ninth inning of the Tribe's 9-3 win over the Detroit Tigers. In doing so he became only the tenth pitcher in American League history, (and the first rookie) to strike out four batters in a single inning.",Debut,"Paul Shuey, American League, Cleveland Indians, Detroit Tigers",Cleveland Indians pitcher Paul Shuey went four (K's) for four in the ninth inning of the Tribe's 9-3...
1994,"Kevin Appier, of the Kansas City Royals, set an all-time record (traced back to 1986) after striking out thirteen Texas Rangers in only five and 2/3 innings of work. To date, no pitcher, in the history of baseball had ever pitched less than six innings in a game with that many strikeouts.",Record,"Texas Rangers, Kevin Appier, Kansas City Royals","Kevin Appier, of the Kansas City Royals, set an all-time record (traced back to 1986) after striking..."
1994,"The St. Louis Cardinals set a new major-league record by stranding sixteen base runners in a 4-0 shutout by the Philadelphia Phillies. After eight innings, the game remained scoreless, but reliever Mike Perez stumbled in the ninth surrendering two hits, one walk and a three-run homer.",Record,"Mike Perez, Louis Cardinals, Philadelphia Phillies",The St. Louis Cardinals set a new major-league record by stranding sixteen base runners in a 4-0 shu...
1994,"On September 14th, the remainder of the baseball season was canceled thirty-four days into the players' strike. As a result, the World Series was also called off for the first time since 1904. Three months later, the owners unilaterally implemented a salary cap as negotiations remained at a standstill.",Debut,"World, September","On September 14th, the remainder of the baseball season was canceled thirty-four days into the playe..."
1994,"On April 21, 1994,Eddie Murrayhit ahome run from both sides of the platefor the eleventh time during his career breakingMickey Mantle'srecord of ten!",Record,"Eddie Murrayhit, April, Mickey Mantle","On April 21, 1994,Eddie Murrayhit ahome run from both sides of the platefor the eleventh time during..."
1994,"Did you know that on April 27, 1994,Scott Ericksonthrew the first Minnesota Twinsno-hittersince 1967?",Debut,"Minnesota Twinsno, Scott Ericksonthrew","Did you know that on April 27, 1994,Scott Ericksonthrew the first Minnesota Twinsno-hittersince 1967..."
