year,player_name,team,stat_category,stat_value,quality_score,quality_level
1927,Garland Braxton,Unknown,Games,58,75,medium
1927,Garland Braxton,Unknown,Saves,13,75,medium
1927,Lefty Grove,Unknown,Strikeouts,174,75,medium
1927,Waite Hoyt,Unknown,Wins,22,75,medium
1947,Ed Klieman,Unknown,Games,58,75,medium
1947,Ed Klieman,Unknown,Saves,17,75,medium
1947,Bob Feller,Unknown,Strikeouts,196,75,medium
1947,Bob Feller,Unknown,Wins,20,75,medium
1947,Boston Red Sox,83,Strikeouts,71,100,high
1947,Chicago White Sox,70,Strikeouts,84,100,high
1961,Luis Arroyo,Unknown,Games,65,75,medium
1961,Luis Arroyo,Unknown,Saves,29,75,medium
1961,Camilo Pascual,Unknown,Strikeouts,221,75,medium
1961,Whitey Ford,Unknown,Wins,25,75,medium
1961,Chicago White Sox,86,Strikeouts,76,100,high
1961,Boston Red Sox,76,Strikeouts,86,100,high
1961,Minnesota Twins,70,Wins,90,30,invalid
1969,Wilbur Wood,Unknown,Games,76,75,medium
1969,Ron Perranoski,Unknown,Strikeouts,31,25,invalid
1969,Sam McDowell,Unknown,Strikeouts,279,75,medium
1969,Denny McLain,Unknown,Wins,24,75,medium
1969,Boston Red Sox,87,Strikeouts,75,100,high
1969,Minnesota Twins,97,Wins,65,30,invalid
1969,Chicago White Sox,68,Strikeouts,94,100,high
1994,Complete Games,Randy Johnson,Strikeouts,9,50,invalid
1994,Bob Wickman,Unknown,Games,53,75,medium
1994,Lee Smith,Unknown,Saves,33,75,medium
1994,Shutouts,Randy Johnson,Strikeouts,4,50,invalid
1994,Randy Johnson,Unknown,Strikeouts,204,75,medium
1994,Jimmy Key,Unknown,Wins,17,75,medium
1994,Boston Red Sox,54,Strikeouts,61,100,high
1994,Chicago White Sox,67,Strikeouts,46,50,invalid
1994,Minnesota Twins,53,Wins,60,30,invalid
1998,Complete Games,Scott Erickson,Strikeouts,11,50,invalid
1998,Sean Runyan,Unknown,Games,88,55,low
1998,Tom Gordon,Unknown,Saves,46,75,medium
1998,Roger Clemens,Unknown,Strikeouts,271,75,medium
1998,Roger Clemens,Unknown,Wins,20,75,medium
1998,Boston Red Sox,92,Strikeouts,70,100,high
1998,Chicago White Sox,80,Strikeouts,82,100,high
1998,Minnesota Twins,70,Wins,92,30,invalid
2001,Paul Quantrill,Unknown,Games,80,75,medium
2001,Mariano Rivera,Unknown,ERA,50,75,medium
2001,Hideo Nomo,Unknown,Strikeouts,220,75,medium
2001,Mark Mulder,Unknown,Wins,21,75,medium
2001,Boston Red Sox,82,Strikeouts,79,100,high
2001,Minnesota Twins,85,Wins,77,30,invalid
2001,Chicago White Sox,83,Strikeouts,79,100,high
2016,Bryan Shaw,Unknown,Games,75,75,medium
2016,Zach Britton,Unknown,Saves,47,75,medium
2016,Justin Verlander,Unknown,Strikeouts,254,75,medium
2016,Rick Porcello,Unknown,Wins,22,75,medium
2020,Scott Barlow,Unknown,Games,32,75,medium
2020,Brad Hand,Unknown,Saves,16,75,medium
2020,Kyle Gibson,Texas Rangers,Strikeouts,1,50,invalid
2020,Lucas Giolito,Chicago White Sox,Strikeouts,1,50,invalid
2020,Shane Bieber,Unknown,Strikeouts,122,75,medium
2020,Shane Bieber,Unknown,Wins,8,75,medium
2020,Boston Red Sox,24,Strikeouts,36,50,invalid
2020,Minnesota Twins,36,Wins,24,100,high
2020,Chicago White Sox,35,Strikeouts,25,50,invalid
2023,Matt Brash,Unknown,Games,78,75,medium
2023,Emmanuel Clase,Unknown,Saves,44,75,medium
2023,Kevin Gausman,Unknown,Strikeouts,237,75,medium
2023,Chris Bassitt,Unknown,Wins,16,75,medium
2023,Boston Red Sox,78,Strikeouts,84,100,high
2023,Minnesota Twins,87,Wins,75,30,invalid
2023,Chicago White Sox,61,Strikeouts,101,100,high
