record_id,field,issue_type,description,severity,suggested_fix
1927-Babe Ruth,stat_category,misclassification,"Value 137.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-Earle Combs,stat_category,misclassification,"Value 231.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-On Base Percentage,stat_value,out_of_range,Value 0.486 outside expected range for Batting Average,high,
1927-Lou Gehrig,stat_category,misclassification,"Value 175.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-Babe Ruth,stat_category,misclassification,"Value 158.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-Babe Ruth,stat_value,out_of_range,Value 0.772 outside expected range for Batting Average,high,
1927-Total Bases,stat_category,misclassification,"Value 447.0 unusual for Home Runs, changed to Total Bases",medium,Changed from Home Runs to Total Bases
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,stat_value,out_of_range,Value 635.0 outside expected range for Home Runs,high,
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,stat_category,misclassification,"Value 158.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,stat_value,out_of_range,Value 975.0 outside expected range for Home Runs,high,
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,stat_value,out_of_range,Value 0.489 outside expected range for Batting Average,high,
1927-Stolen Bases,stat_category,misclassification,"Value 139.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-New York,stat_category,misclassification,"Value 103.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
1927-Complete Games,stat_category,misclassification,"Value 85.0 unusual for Home Runs, changed to RBI",medium,Changed from Home Runs to RBI
1927-New York,team,missing_value,Team name is missing or too short,high,
1927-Fewest Walks Allowed,stat_category,misclassification,"Value 409.0 unusual for Home Runs, changed to Total Bases",medium,Changed from Home Runs to Total Bases
1927-New York,team,missing_value,Team name is missing or too short,high,
2000-Jason Giambi,stat_category,misclassification,"Value 137.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2000-Darin Erstad,stat_category,misclassification,"Value 240.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2000-On Base Percentage,stat_value,out_of_range,Value 0.476 outside expected range for Batting Average,high,
2000-Edgar Martinez,stat_category,misclassification,"Value 145.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2000-Johnny Damon,stat_category,misclassification,"Value 136.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
2000-Manny Ramirez,stat_value,out_of_range,Value 0.697 outside expected range for Batting Average,high,
2000-Total Bases,stat_category,misclassification,"Value 378.0 unusual for Home Runs, changed to Total Bases",medium,Changed from Home Runs to Total Bases
2000-Stolen Bases,stat_category,misclassification,"Value 126.0 unusual for Home Runs, changed to Hits",medium,Changed from Home Runs to Hits
