rank,player_name,team,stat_category,stat_value,year,team_standardized,stat_category_corrected,quality_score,quality_level
,Babe Ruth,New York Yankees,Hits,137.0,1927,True,True,90.0,high
,Harry Heilmann,Detroit Tigers,Batting Average,0.398,1927,True,,100.0,high
,Lou Gehrig,New York Yankees,Home Runs,52.0,1927,True,,100.0,high
,Earle Combs,New York Yankees,Hits,231.0,1927,True,True,90.0,high
,Babe Ruth,New York Yankees,Home Runs,60.0,1927,True,,100.0,high
,On Base Percentage,Babe Ruth,Batting Average,0.486,1927,,,75.0,medium
,Lou Gehrig,New York Yankees,Hits,175.0,1927,True,True,90.0,high
,Babe Ruth,New York Yankees,Hits,158.0,1927,True,True,90.0,high
,Babe Ruth,New York Yankees,Batting Average,0.772,1927,True,,75.0,medium
,Stolen Bases,George Sisler,Home Runs,27.0,1927,,,100.0,high
,Total Bases,Lou Gehrig,Total Bases,447.0,1927,,True,90.0,high
,Earle Combs,New York Yankees,Home Runs,23.0,1927,True,,100.0,high
,New York,,Home Runs,635.0,1927,,,50.0,low
,New York,,Batting Average,0.307,1927,,,75.0,medium
,New York,,Hits,158.0,1927,,True,65.0,low
,On Base Percentage,New York Yankees,Batting Average,0.383,1927,True,,100.0,high
,New York,,Home Runs,975.0,1927,,,50.0,low
,New York,,Batting Average,0.489,1927,,,50.0,low
,Stolen Bases,Detroit Tigers,Hits,139.0,1927,True,True,90.0,high
,New York,,Hits,103.0,1927,,True,65.0,low
,Complete Games,Chicago White Sox,RBI,85.0,1927,True,True,90.0,high
,New York,,ERA,3.2,1927,,,75.0,medium
,Fewest Walks Allowed,New York Yankees,Total Bases,409.0,1927,True,True,90.0,high
,New York,,Home Runs,11.0,1927,,,75.0,medium
,Jason Giambi,Oakland,Hits,137.0,2000,,True,90.0,high
,Nomar Garciaparra,Boston Red Sox,Batting Average,0.372,2000,True,,100.0,high
,Carlos Delgado,Toronto,Home Runs,57.0,2000,,,100.0,high
,Darin Erstad,Anaheim,Hits,240.0,2000,,True,90.0,high
,Troy Glaus,Anaheim,Home Runs,47.0,2000,,,100.0,high
,On Base Percentage,Jason Giambi,Batting Average,0.476,2000,,,75.0,medium
,Edgar Martinez,Seattle,Hits,145.0,2000,,True,90.0,high
,Johnny Damon,Kansas City,Hits,136.0,2000,,True,90.0,high
,Manny Ramirez,Cleveland Indians,Batting Average,0.697,2000,True,,75.0,medium
,Stolen Bases,Johnny Damon,Home Runs,46.0,2000,,,100.0,high
,Total Bases,Carlos Delgado,Total Bases,378.0,2000,,True,90.0,high
,Cristian Guzman,Minnesota,Home Runs,20.0,2000,,,100.0,high
,On Base Percentage,Cleveland Indians,Batting Average,0.367,2000,True,,100.0,high
,Stolen Bases,Baltimore,Hits,126.0,2000,,True,90.0,high
,Complete Games,Toronto,Home Runs,15.0,2000,,,100.0,high
,Fewest Walks Allowed,Detroit Tigers,Total Bases,496.0,2000,True,True,90.0,high
,Seattle Mariners,Top 25,RBI,94.0,2023,,True,90.0,high
,Tampa Bay Rays,Top 25,Batting Average,0.33,2023,,,100.0,high
,Corey Seager,Texas Rangers,Home Runs,42.0,2023,,,100.0,high
,Marcus Semien,Texas Rangers,Hits,185.0,2023,,True,90.0,high
,Shohei Ohtani,,Home Runs,44.0,2023,,,75.0,medium
,On Base Percentage,Shohei Ohtani,Batting Average,0.412,2023,,,90.0,high
,Kyle Tucker,Houston Astros,Hits,112.0,2023,,True,90.0,high
,Marcus Semien,Texas Rangers,Hits,122.0,2023,,True,90.0,high
,Shohei Ohtani,,Batting Average,0.654,2023,,,50.0,low
,Stolen Bases,Esteury Ruiz,Home Runs,67.0,2023,,,90.0,high
,Total Bases,Shohei Ohtani,Total Bases,325.0,2023,,True,90.0,high
,Kansas City Royals,Top 25,Home Runs,11.0,2023,,,100.0,high
