rank,player_name,team,stat_category,stat_value,year,stat_category_corrected,quality_score,quality_level,team_standardized
,Complete Games,Ted Lyons,Complete Games,30.0,1927,True,90.0,high,
,Wilcy Moore,New York Yankees,ERA,2.28,1927,,100.0,high,True
,Garland Braxton,Washington Senators,ERA,58.0,1927,,75.0,medium,True
,Garland Braxton,Washington Senators,ERA,13.0,1927,,75.0,medium,True
,Hod Lisenbee,Washington Senators,ERA,4.0,1927,,100.0,high,True
,Lefty Grove,Philadelphia Athletics,Strikeouts,174.0,1927,True,90.0,high,True
,Winning Percentage,Waite Hoyt,Batting Average,0.759,1927,,75.0,medium,
,Waite Hoyt,New York Yankees,Complete Games,22.0,1927,True,90.0,high,True
,Complete Games,David Wells,ERA,9.0,2000,,75.0,medium,
,Pedro Martinez,Boston Red Sox,ERA,1.74,2000,,100.0,high,True
,Kelly Wunsch,Chicago White Sox,ERA,83.0,2000,,75.0,medium,True
,Todd Jones,Detroit Tigers,ERA,42.0,2000,,75.0,medium,True
,Pedro Martinez,Boston Red Sox,ERA,4.0,2000,,100.0,high,True
,Pedro Martinez,Boston Red Sox,Strikeouts,284.0,2000,True,90.0,high,True
,Winning Percentage,Tim Hudson,Batting Average,0.769,2000,,75.0,medium,
,Tim Hudson,Oakland,Complete Games,20.0,2000,True,90.0,high,
,New York Yankees,,Hits,87.0,2000,,100.0,high,
,Boston Red Sox,,Hits,85.0,2000,,100.0,high,
,Toronto Blue Jays,,Hits,83.0,2000,,100.0,high,
,Baltimore Orioles,,Hits,74.0,2000,,100.0,high,
,Chicago White Sox,,Hits,95.0,2000,,100.0,high,
,Cleveland Indians,,Hits,90.0,2000,,100.0,high,
,Detroit Tigers,,Hits,79.0,2000,,100.0,high,
,Kansas City Royals,,Hits,77.0,2000,,100.0,high,
,Minnesota Twins,,Hits,69.0,2000,,100.0,high,
,Oakland Athletics,,Hits,91.0,2000,,100.0,high,
,Seattle Mariners,,Hits,91.0,2000,,100.0,high,
,Anaheim Angels,,Hits,82.0,2000,,100.0,high,
,Texas Rangers,,Hits,71.0,2000,,100.0,high,
,Complete Games,Jordan Lyles,ERA,3.0,2023,,100.0,high,
,Gerrit Cole,,ERA,2.63,2023,,100.0,high,
,Matt Brash,,ERA,78.0,2023,,75.0,medium,
,Emmanuel Clase,,ERA,44.0,2023,,75.0,medium,
,Gerrit Cole,,ERA,2.0,2023,,100.0,high,
,Framber Valdez,Houston Astros,ERA,2.0,2023,,100.0,high,
,Kevin Gausman,,Strikeouts,237.0,2023,True,90.0,high,
,Winning Percentage,Gerrit Cole,Batting Average,0.789,2023,,75.0,medium,
,Chris Bassitt,,Complete Games,16.0,2023,True,90.0,high,
,Zach Eflin,Tampa Bay Rays,Complete Games,16.0,2023,True,90.0,high,
,Baltimore Orioles,,Hits,101.0,2023,,100.0,high,
,Tampa Bay Rays,,Hits,99.0,2023,,100.0,high,
,Toronto Blue Jays,,Hits,89.0,2023,,100.0,high,
,New York Yankees,,Hits,82.0,2023,,100.0,high,
,Boston Red Sox,,Hits,78.0,2023,,100.0,high,
,Minnesota Twins,,Hits,87.0,2023,,100.0,high,
,Detroit Tigers,,Hits,78.0,2023,,100.0,high,
,Cleveland Guardians,,Hits,76.0,2023,,100.0,high,
,Chicago White Sox,,Hits,61.0,2023,,100.0,high,
,Kansas City Royals,,Hits,56.0,2023,,100.0,high,
,Houston Astros,,Hits,90.0,2023,,100.0,high,
,Texas Rangers,,Hits,90.0,2023,,100.0,high,
,Seattle Mariners,,Hits,88.0,2023,,100.0,high,
,Los Angeles Angels,,Hits,73.0,2023,,100.0,high,
,Oakland Athletics,,Hits,50.0,2023,,100.0,high,
