year,player_name,team,stat_category,stat_value
1927,Babe Ruth,New York,Base on Balls,137.0
1927,Harry Heilmann,Detroit,Batting Average,0.398
1927,Lou Gehrig,New York,Doubles,52.0
1927,Earle Combs,New York,Hits,231.0
1927,Babe Ruth,New York,Home Runs,60.0
1927,Babe Ruth,New York,On Base Percentage,0.486
1927,Lou Gehrig,New York,RBI,175.0
1927,Babe Ruth,New York,Runs,158.0
1927,Babe Ruth,New York,Slugging Average,0.772
1927,George Sisler,St. Louis,Stolen Bases,27.0
1927,Lou Gehrig,New York,Total Bases,447.0
1927,Earle Combs,New York,Triples,23.0
1947,Ted Williams,Boston,Base on Balls,162.0
1947,Ted Williams,Boston,Batting Average,0.343
1947,Lou Boudreau,Cleveland,Doubles,45.0
1947,Johnny Pesky,Boston,Hits,207.0
1947,Ted Williams,Boston,Home Runs,32.0
1947,Ted Williams,Boston,On Base Percentage,0.499
1947,Ted Williams,Boston,RBI,114.0
1947,Ted Williams,Boston,Runs,125.0
1947,Ted Williams,Boston,Slugging Average,0.634
1947,Bob Dillinger,St. Louis,Stolen Bases,34.0
1947,Ted Williams,Boston,Total Bases,335.0
1947,Tommy Henrich,New York,Triples,13.0
1961,Mickey Mantle,New York,Base on Balls,126.0
1961,Norm Cash,Detroit,Batting Average,0.361
1961,Al Kaline,Detroit,Doubles,41.0
1961,Norm Cash,Detroit,Hits,193.0
1961,Roger Maris,New York,Home Runs,61.0
1961,Norm Cash,Detroit,On Base Percentage,0.488
1961,Jim Gentile,Baltimore,RBI,141.0
1961,Roger Maris,New York,Runs,132.0
1961,Mickey Mantle,New York,Slugging Average,0.687
1961,Luis Aparacio,Chicago,Stolen Bases,53.0
1961,Roger Maris,New York,Total Bases,366.0
1961,Jake Wood,Detroit,Triples,14.0
1969,Harmon Killebrew,Minnesota,Base on Balls,145.0
1969,Rod Carew,Minnesota,Batting Average,0.332
1969,Tony Oliva,Minnesota,Doubles,39.0
1969,Tony Oliva,Minnesota,Hits,197.0
1969,Harmon Killebrew,Minnesota,Home Runs,49.0
1969,Harmon Killebrew,Minnesota,On Base Percentage,0.43
1969,Harmon Killebrew,Minnesota,RBI,140.0
1969,Reggie Jackson,Oakland,Runs,123.0
1969,Reggie Jackson,Oakland,Slugging Average,0.608
1969,Tommy Harper,Seattle,Stolen Bases,73.0
1969,Frank Howard,Washington,Total Bases,340.0
1969,Del Unser,Washington,Triples,8.0
1994,Frank Thomas,Chicago,Base on Balls,109.0
1994,Paul O'Neill,New York,Batting Average,0.359
1994,Chuck Knoblauch,Minnesota,Doubles,45.0
1994,Kenny Lofton,Cleveland,Hits,160.0
1994,"Ken Griffey, Jr.",Seattle,Home Runs,40.0
1994,Frank Thomas,Chicago,On Base Percentage,0.494
1994,Kirby Puckett,Minnesota,RBI,112.0
1994,Frank Thomas,Chicago,Runs,106.0
1994,Frank Thomas,Chicago,Slugging Average,0.729
1994,Kenny Lofton,Cleveland,Stolen Bases,60.0
1994,Albert Belle,Cleveland,Total Bases,294.0
1994,Lance Johnson,Chicago,Triples,14.0
1998,Rickey Henderson,Oakland,Base on Balls,118.0
1998,Bernie Williams,New York,Batting Average,0.339
1998,Juan Gonzalez,Texas,Doubles,50.0
1998,Alex Rodriguez,Seattle,Hits,213.0
1998,"Ken Griffey, Jr.",Seattle,Home Runs,56.0
1998,Edgar Martinez,Seattle,On Base Percentage,0.433
1998,Juan Gonzalez,Texas,RBI,157.0
1998,Derek Jeter,New York,Runs,127.0
1998,Albert Belle,Chicago,Slugging Average,0.655
1998,Rickey Henderson,Oakland,Stolen Bases,66.0
1998,Albert Belle,Chicago,Total Bases,399.0
1998,Jose Offerman,Kansas City,Triples,13.0
2001,Jason Giambi,Oakland,Base on Balls,129.0
2001,Ichiro Suzuki,Seattle,Batting Average,0.35
2001,Jason Giambi,Oakland,Doubles,47.0
